LEAID,State,year,ca_rate,pred_ca_rate,residual,residual_quintile,poverty_rate_5_17,student_teacher_ratio_clean,pct_black,pct_hispanic
1300180,GEORGIA,2023,0.293,0.3458,-0.0528,Above Expected,39.8,11.583011583011585,0.5933333333333334,0.1033333333333333
1300240,GEORGIA,2023,0.302,0.1484,0.1536,High Risk,16.0,13.4739336492891,0.017235314808301,0.1104467112205416
1302490,GEORGIA,2023,0.216,0.2652,-0.0492,Above Expected,25.1,10.658707286949362,0.4101969872537659,0.1645422943221321
1302640,GEORGIA,2023,0.265,0.4263,-0.1613,Top Performing,42.1,8.419161676646707,0.961593172119488,0.0085348506401137
1303660,GEORGIA,2023,0.273,0.2735,-0.0005,Expected,28.7,12.352941176470589,0.436734693877551,0.0489795918367346
3611880,NEW YORK,2023,0.298,0.2781,0.0199,Below Expected,16.1,12.021787475424633,0.1841823056300268,0.1560321715817694
3613560,NEW YORK,2023,0.285,0.2545,0.0305,Below Expected,19.1,8.342105263157896,0.0441640378548895,0.056782334384858
3619380,NEW YORK,2023,0.278,0.224,0.054,Below Expected,8.5,10.27719050974865,0.0342857142857142,0.16
3623790,NEW YORK,2023,0.164,0.2425,-0.0785,Top Performing,18.8,10.36111111111111,0.0134048257372654,0.0080428954423592
3629240,NEW YORK,2023,0.301,0.2434,0.0576,High Risk,18.200000000000003,13.230212275793976,0.0223880597014925,0.0534825870646766
2800189,MISSISSIPPI,2023,0.26,0.2725,-0.0125,Expected,23.4,12.8034742570113,0.6585615038823048,0.0145075602778912
3100163,NEBRASKA,2023,0.055,0.1903,-0.1353,Top Performing,15.35,12.626262626262626,0.0032,0.28
3300035,NEW HAMPSHIRE,2023,0.168,0.2378,-0.0698,Top Performing,16.5,9.770408163265303,0.0052219321148825,0.0339425587467362
2728080,MINNESOTA,2023,0.32,0.2293,0.0907,High Risk,13.45,13.732202598615109,0.005099150141643,0.0781869688385269
2742720,MINNESOTA,2023,0.308,0.2859,0.0221,Below Expected,14.3,12.928664229386348,0.1528394484692685,0.4232297265716289
2802100,MISSISSIPPI,2023,0.201,0.1264,0.0746,High Risk,16.3,12.132432238119202,0.0678518518518518,0.010074074074074
2804110,MISSISSIPPI,2023,0.214,0.1954,0.0186,Below Expected,26.9,11.149497487437186,0.2024144869215291,0.1078470824949698
2804230,MISSISSIPPI,2023,0.326,0.1947,0.1313,High Risk,19.4,13.251743650480329,0.3336643495531281,0.0650446871896723
2906000,MISSOURI,2023,0.091,0.1677,-0.0767,Top Performing,18.9,8.715596330275229,0.0,0.0526315789473684
2910200,MISSOURI,2023,0.106,0.1864,-0.0804,Top Performing,26.1,10.374149659863946,0.0,0.0054644808743169
2913770,MISSOURI,2023,0.269,0.1794,0.0896,High Risk,23.7,11.80952380952381,0.002932551319648,0.0205278592375366
3173470,NEBRASKA,2023,0.166,0.1826,-0.0166,Expected,16.55,14.343792348587511,0.0123546511627906,0.0922965116279069
3304410,NEW HAMPSHIRE,2023,0.127,0.2017,-0.0747,Top Performing,5.0,11.132686084142394,0.0072674418604651,0.0499031007751938
1812720,INDIANA,2023,0.212,0.307,-0.095,Top Performing,20.0,14.4,0.3925038051750381,0.219558599695586
1904560,IOWA,2023,0.12,0.1954,-0.0754,Top Performing,16.3,12.805169937769268,0.0037383177570093,0.0149532710280373
1907050,IOWA,2023,0.301,0.1909,0.1101,High Risk,14.3,13.85796130148092,0.0015600624024961,0.063182527301092
2000001,KANSAS,2023,0.105,0.1788,-0.0738,Top Performing,10.9,13.288461538461538,0.0115774240231548,0.0376266280752532
2505400,MASSACHUSETTS,2023,0.123,0.1765,-0.0535,Above Expected,10.2,11.885582771658722,0.0041493775933609,0.1023513139695712
2200570,LOUISIANA,2023,0.176,0.4361,-0.2601,Top Performing,50.6,13.987941429801896,0.9913793103448276,0.0036945812807881
2200900,LOUISIANA,2023,0.224,0.1918,0.0322,Below Expected,25.8,19.26482352781657,0.1891891891891892,0.1019144144144144
2201260,LOUISIANA,2023,0.293,0.2745,0.0185,Below Expected,28.2,16.8260275673662,0.5509225092250922,0.0645756457564575
2302730,MAINE,2023,0.167,0.2932,-0.1262,Top Performing,19.3,9.26798617656299,0.0067796610169491,0.0203389830508474
2303870,MAINE,2023,0.283,0.2927,-0.0097,Expected,19.3,9.569377990430622,0.0086206896551724,0.0103448275862068
2311280,MAINE,2023,0.25,0.2781,-0.0281,Above Expected,15.1,9.868141216503616,0.0043103448275862,0.0086206896551724
2314772,MAINE,2023,0.308,0.2671,0.0409,Below Expected,10.2,10.21377672209026,0.024390243902439,0.019285309132161
2400600,MARYLAND,2023,0.324,0.2737,0.0503,Below Expected,9.7,15.99140689276899,0.193848968158692,0.0819756474018178
4010860,OKLAHOMA,2023,0.175,0.1958,-0.0208,Expected,18.566666666666663,13.702702702702704,0.0118343195266272,0.029585798816568
4012690,OKLAHOMA,2023,0.11,0.1924,-0.0824,Top Performing,18.5,18.118653126670228,0.0029498525073746,0.0560471976401179
4018390,OKLAHOMA,2023,0.11,0.1992,-0.0892,Top Performing,14.9,10.728628800917958,0.0,0.267379679144385
4021720,OKLAHOMA,2023,0.258,0.1943,0.0637,High Risk,12.1,16.39286381856321,0.0675915368047637,0.1724946154820727
4027630,OKLAHOMA,2023,0.1,0.2085,-0.1085,Top Performing,22.55,11.152614727854855,0.0047846889952153,0.0239234449760765
4028650,OKLAHOMA,2023,0.166,0.2174,-0.0514,Above Expected,25.3,15.93288590604027,0.0050547598989048,0.0775063184498736
4101740,OREGON,2023,0.407,0.4057,0.0013,Expected,19.9,7.5,0.0,0.1111111111111111
4106000,OREGON,2023,0.52,0.3868,0.1332,High Risk,9.4,18.97874460312189,0.0419984250590602,0.3228628926415259
4108720,OREGON,2023,0.395,0.3701,0.0249,Below Expected,7.8,18.117596381649797,0.0126010461245839,0.2299096528768426
607440,CALIFORNIA,2023,0.195,0.2262,-0.0312,Above Expected,10.7,22.5466905843124,0.0081471747700394,0.2717477003942181
614250,CALIFORNIA,2023,0.263,0.3015,-0.0385,Above Expected,23.0,22.03462461432979,0.0081680280046674,0.8214702450408401
