LEAID,lea_name,urbanicity
100005,Albertville City,Urban
100006,Marshall County,Urban
100007,Hoover City,Urban
100008,Madison City,Urban
100011,Leeds City,Urban
100012,Boaz City,Urban
100013,Trussville City,Urban
100030,Alexander City,Urban
100060,Andalusia City,Urban
100090,Anniston City,Urban
100100,Arab City,Urban
100120,Athens City,Urban
100180,Attalla City,Urban
100185,Saraland City,Urban
100188,Chickasaw City,Urban
100189,Satsuma City,Urban
100190,Alabaster City,Urban
100194,Pelham City,Urban
100195,Pike Road City,Urban
100197,MAEF Public Charter Schools,Non-Urban
100199,University Charter School,Non-Urban
100201,Legacy Prep,Non-Urban
100202,Gulf Shores City,Urban
100203,LEAD Academy,Non-Urban
100204,i3 Academy,Non-Urban
100207,LIFE Academy,Non-Urban
100208,Breakthrough Charter School,Non-Urban
100210,Auburn City,Urban
100211,Magic City Acceptance Academy,Non-Urban
100213,Alabama Aerospace and Aviation,Non-Urban
100240,Autauga County,Urban
100270,Baldwin County,Urban
100300,Barbour County,Urban
100330,Bessemer City,Urban
100360,Bibb County,Urban
100390,Birmingham City,Urban
100420,Blount County,Urban
100450,Brewton City,Urban
100480,Bullock County,Urban
100510,Butler County,Urban
100540,Calhoun County,Urban
100600,Chambers County,Urban
100630,Cherokee County,Urban
100660,Chilton County,Urban
100690,Choctaw County,Urban
100720,Clarke County,Urban
100750,Clay County,Urban
100780,Cleburne County,Urban
100810,Coffee County,Urban
100840,Colbert County,Urban
100870,Conecuh County,Urban
100900,Coosa County,Urban
100930,Covington County,Urban
100960,Crenshaw County,Urban
100990,Cullman City,Urban
101020,Cullman County,Urban
101050,Dale County,Urban
101080,Daleville City,Urban
101110,Dallas County,Urban
101140,DeKalb County,Urban
101170,Decatur City,Urban
101200,Demopolis City,Urban
101230,Dothan City,Urban
101260,Elba City,Urban
101290,Elmore County,Urban
101320,Enterprise City,Urban
101350,Escambia County,Urban
101380,Etowah County,Urban
101410,Eufaula City,Urban
101440,Fairfield City,Urban
101470,Fayette County,Urban
101530,Florence City,Urban
101560,Fort Payne City,Urban
101590,Franklin County,Urban
101620,Gadsden City,Urban
101640,Geneva City,Urban
101660,Geneva County,Urban
101680,Greene County,Urban
101690,Guntersville City,Urban
101710,Hale County,Urban
101720,Haleyville City,Urban
101730,Hartselle City,Urban
101740,Henry County,Urban
101760,Homewood City,Urban
101770,Houston County,Urban
101800,Huntsville City,Urban
101830,Jackson County,Urban
101860,Jacksonville City,Urban
101890,Jasper City,Urban
101920,Jefferson County,Urban
101950,Lamar County,Urban
101980,Lanett City,Urban
102010,Lauderdale County,Urban
102040,Lawrence County,Urban
102070,Lee County,Urban
102100,Limestone County,Urban
102130,Linden City,Urban
102160,Lowndes County,Urban
102190,Macon County,Urban
102220,Madison County,Urban
102250,Marengo County,Urban
102310,Marion County,Urban
102350,Midfield City,Urban
102370,Mobile County,Urban
102400,Monroe County,Urban
102430,Montgomery County,Urban
102480,Morgan County,Urban
102490,Mountain Brook City,Urban
102520,Muscle Shoals City,Urban
102550,Oneonta City,Urban
102580,Opelika City,Urban
102610,Opp City,Urban
102635,Oxford City,Urban
102640,Ozark City,Urban
102650,Pell City,Urban
102670,Perry County,Urban
102700,Phenix City,Urban
102730,Pickens County,Urban
102760,Piedmont City,Urban
102790,Pike County,Urban
102820,Randolph County,Urban
102850,Roanoke City,Urban
102880,Russell County,Urban
102910,Russellville City,Urban
102940,Scottsboro City,Urban
102970,Selma City,Urban
103000,Sheffield City,Urban
103030,Shelby County,Urban
103062,St Clair County,Urban
103090,Sumter County,Urban
103120,Sylacauga City,Urban
103150,Talladega City,Urban
103180,Talladega County,Urban
103210,Tallapoosa County,Urban
103240,Tallassee City,Urban
103270,Tarrant City,Urban
103300,Thomasville City,Urban
103330,Troy City,Urban
103360,Tuscaloosa City,Urban
103390,Tuscaloosa County,Urban
103420,Tuscumbia City,Urban
103430,Vestavia Hills City,Urban
103450,Walker County,Urban
103480,Washington County,Urban
103510,Wilcox County,Urban
103540,Winfield City,Urban
103580,Winston County,Urban
103581,Orange Beach City,Urban
103582,Empower Community School,Non-Urban
200001,Lower Kuskokwim School District,Urban
200003,Lower Yukon School District,Urban
200004,Yupiit School District,Urban
200005,Kashunamiut School District,Urban
200006,Mount Edgecumbe,Non-Urban
200007,Aleutians East Borough School District,Urban
200010,Aleutian Region School District,Urban
200020,Bering Strait School District,Urban
200030,Bristol Bay Borough School District,Urban
200050,Alaska Gateway School District,Urban
200060,Cordova City School District,Urban
200070,Copper River School District,Urban
200090,Craig City School District,Urban
200100,Delta/Greely School District,Urban
200120,Dillingham City School District,Urban
200130,Galena City School District,Urban
200150,Ketchikan Gateway Borough School District,Urban
200180,Anchorage School District,Urban
200210,Juneau Borough School District,Urban
200240,Sitka School District,Urban
200270,Haines Borough School District,Urban
200300,Hoonah City School District,Urban
200330,Hydaburg City School District,Urban
200360,Kake City School District,Urban
200390,Kenai Peninsula Borough School District,Urban
200450,Klawock City School District,Urban
200480,Kodiak Island Borough School District,Urban
200485,Lake and Peninsula Borough School District,Urban
200510,Matanuska-Susitna Borough School District,Urban
200520,Iditarod Area School District,Urban
200525,Annette Island School District,Urban
200540,Nenana City School District,Urban
200570,Nome Public Schools,Urban
200600,Fairbanks North Star Borough School District,Urban
200610,North Slope Borough School District,Urban
200625,Northwest Arctic Borough School District,Urban
200630,Pelican City School District,Urban
200660,Petersburg Borough School District,Urban
200670,Pribilof School District,Urban
200680,Saint Mary's School District,Urban
200690,Skagway School District,Urban
200700,Southeast Island School District,Urban
200710,Southwest Region School District,Urban
200715,Tanana City School District,Urban
200720,Unalaska City School District,Urban
200730,Chatham School District,Urban
200760,Kuspuk School District,Urban
200770,Denali Borough School District,Urban
200775,Yukon Flats School District,Urban
200780,Valdez City School District,Urban
200800,Chugach School District,Urban
200810,Wrangell Public School District,Urban
200840,Yakutat School District,Urban
200862,Yukon-Koyukuk School District,Urban
400001,Cave Creek Unified District (4244),Urban
400003,Chino Valley Unified District (4474),Urban
400004,Clarkdale-Jerome Elementary District (4486),Urban
400005,Salome Consolidated Elementary District (4514),Urban
400016,Center for Academic Success Inc. (4191),Non-Urban
400018,Pine Forest Education Association Inc. (4201),Non-Urban
400019,Flagstaff Arts And Leadership Academy (4202),Non-Urban
400020,Flagstaff Montessori (4205),Non-Urban
400021,Colorado City Unified District (4370),Urban
400022,Vernon Elementary District (4162),Urban
400023,Pinon Unified District (4390),Urban
400026,Heber-Overgaard Unified District (4392),Urban
400028,Triumphant Learning Center (4225),Non-Urban
400031,Ridgeline Academy Inc. (4301),Non-Urban
400033,The Boys & Girls Clubs of the Valley (4305),Non-Urban
400034,Reid Traditional Schools' Valley Academy Inc. (4306),Non-Urban
400037,Twenty First Century Charter School Inc. Bennett  (4310),Non-Urban
400040,STEP UP Schools Inc. (4313),Non-Urban
400041,Maricopa County Community College District dba Gat (4314),Non-Urban
400043,New School For The Arts (4316),Non-Urban
400047,Salt River Pima-Maricopa  Community Schools (4320),Non-Urban
400052,Espiritu Community Development Corp. (4335),Non-Urban
400053,Heritage Academy Inc. (4336),Non-Urban
400054,Villa Montessori Charter School (4339),Non-Urban
400056,Arizona School For The Arts (4345),Non-Urban
400057,Arizona Center for Youth Resources (4346),Non-Urban
400061,Intelli-School Inc. (4352),Non-Urban
400065,Benjamin Franklin Charter School - Queen Creek (4355),Non-Urban
400068,Montessori Day Public Schools Chartered Inc. (4359),Non-Urban
400069,Khalsa Montessori Elementary Schools (4360),Non-Urban
400070,Tempe Preparatory Academy (4361),Non-Urban
400071,Bright Beginnings School Inc. (4362),Non-Urban
400072,Montessori Education Centre Charter School (4363),Non-Urban
400074,Kingman Academy Of Learning (4383),Non-Urban
400075,Young Scholars Academy Charter School Corp. (4385),Non-Urban
400077,Career Development Inc. (4400),Non-Urban
400078,Edge School Inc. The (4421),Non-Urban
400079,Tucson Youth Development/ACE Charter High School (4422),Non-Urban
400081,Presidio School (4425),Non-Urban
400082,Colorado River Union High School District (4381),Urban
400083,Portable Practical Educational Preparation Inc. ( (4431),Non-Urban
400089,Sedona Charter School Inc. (4492),Non-Urban
400090,Mingus Springs Charter School (4493),Non-Urban
400092,Franklin Phonetic Primary School Inc. (4495),Non-Urban
400095,Yuma Private Industry Council Inc. (4509),Non-Urban
400097,Northland Preparatory Academy (4204),Non-Urban
400098,Flagstaff Junior Academy (4207),Non-Urban
400099,Liberty High School (4216),Non-Urban
400100,Ball Charter Schools (Hearn) (4294),Non-Urban
400102,Friendly House Inc. (4303),Non-Urban
400103,Ombudsman Educational Services Ltd.a subsidiary  (4323),Non-Urban
400106,Arizona Agribusiness & Equine Center Inc. (4331),Non-Urban
400107,International Commerce Secondary Schools Inc. (4334),Non-Urban
400108,Humanities and Sciences Academy of the United Stat (4337),Non-Urban
400111,Allen-Cochran Enterprises Inc. (4347),Non-Urban
400112,American Leadership Academy Inc. (4348),Non-Urban
400115,Hermosa Montessori Charter School (4426),Non-Urban
400121,Accelerated Learning Center Inc. (4297),Non-Urban
400122,Acclaim Charter School (4325),Non-Urban
400124,Genesis Program Inc. (4332),Non-Urban
400126,Montessori Schoolhouse of Tucson Inc. (4428),Non-Urban
