term,coef,se_HC3,p_value
const,0.07719231238501437,0.008636206428676829,3.954893792089979e-19
poverty_rate_5_17,0.0022639003726131657,0.0001458816477558523,2.590605913164022e-54
poverty_x_2023,0.0009243737325108915,0.00019984819182254217,3.7391311427692254e-06
student_teacher_ratio_clean,-0.0043987186550849,0.0003523761892946944,9.241497008775885e-36
staff_x_2023,0.0037047471437406864,0.0003782466864830627,1.1885312345945194e-22
pct_black,0.20945109310146795,0.006870494994396868,4.0456544004444155e-204
pct_hispanic,0.06499935068298708,0.004201372206149711,5.44703678137981e-54
year_2023,0.025544981518311652,0.006117510763474864,2.970515266437727e-05
ALASKA,0.3221919033301789,0.01927242476451753,9.72973949529894e-63
ARIZONA,0.2411989574887795,0.009162299467625224,9.883445334233343e-153
ARKANSAS,0.03445764402573243,0.0069221910508709215,6.429371644282933e-07
CALIFORNIA,0.08566170301846761,0.006418838603822397,1.2606246683448654e-40
COLORADO,0.13284317089572203,0.008571391101485254,3.554300709208659e-54
CONNECTICUT,0.0005933026592430453,0.007253829517288192,0.9348123989894451
DELAWARE,0.04822016160651883,0.007873556357051547,9.107294193764972e-10
DISTRICT OF COLUMBIA,0.14488251579176983,0.044428737385078965,0.0011101648726813216
FLORIDA,0.15615564212133723,0.008079230223723958,3.1208109121925403e-83
GEORGIA,-0.006805149963451,0.00656272844207758,0.29976422312992124
HAWAII,0.15953215630890327,0.038902382035298756,4.116662947056757e-05
IDAHO,0.0031605320771124776,0.007292538209056447,0.6647295773936714
ILLINOIS,0.074082475491569,0.005627611070645364,1.4119678248457113e-39
INDIANA,0.05399393746370476,0.005967686733396134,1.4598928244290603e-19
IOWA,0.047792844847115525,0.005815233245970984,2.059607476224035e-16
KANSAS,0.04568335675023962,0.006074824251975601,5.472947614618399e-14
KENTUCKY,0.11116731411292834,0.00685484382463383,3.803294723546893e-59
LOUISIANA,-0.026094365722711524,0.00807606454474418,0.0012332581708690926
MAINE,0.13258038375444786,0.007806618203412264,1.0959030156453429e-64
MARYLAND,0.10521510542210791,0.0088205761128431,8.420502208583452e-33
MASSACHUSETTS,0.04200046122724358,0.0060862357493712774,5.167667409418097e-12
MICHIGAN,0.13475446991975726,0.006136019416822131,6.765859962404225e-107
MINNESOTA,0.08702044750782026,0.006546022877430068,2.5202618495933406e-40
MISSISSIPPI,-0.03479685932385162,0.007491984253789176,3.408264666701537e-06
MISSOURI,0.007332614141439334,0.005684885318593189,0.197104893268371
MONTANA,0.16513938224796323,0.008816720276117128,2.8059089928352927e-78
NEBRASKA,0.02851248099414123,0.007344176317581973,0.00010346237384605659
NEVADA,0.16275496138659146,0.012195457944124832,1.2575742215872757e-40
NEW HAMPSHIRE,0.08594941773598629,0.008039239693678578,1.1186873918960556e-26
NEW JERSEY,-0.006673279156707714,0.005954058278954163,0.2623751037866008
NEW MEXICO,0.13554558066952457,0.012928701445411988,1.022324135495259e-25
NEW YORK,0.08368870081271004,0.006073063309663793,3.348268961442922e-43
NORTH CAROLINA,0.06683313804980337,0.006214220028613545,5.621229526049743e-27
NORTH DAKOTA,0.044495212947555714,0.00978041953060524,5.379458819938833e-06
OHIO,0.08329303647056663,0.005613367927049969,8.278468314454901e-50
OKLAHOMA,0.039001195454073094,0.006057248277111533,1.2044987897547673e-10
OREGON,0.23750224564130643,0.007901695535117619,1.7620713275196522e-198
PENNSYLVANIA,0.05797385721900973,0.0057360896186725,5.1508493204684e-24
RHODE ISLAND,0.0974828054445761,0.012188309129061008,1.2639665720421983e-15
SOUTH CAROLINA,0.009962083540893035,0.007813136335433702,0.20229407932149335
SOUTH DAKOTA,0.03446828778463287,0.008370471760022747,3.824352303491961e-05
TENNESSEE,0.03595213584409996,0.006303183398360993,1.1716135632802859e-08
TEXAS,-0.0102640877418541,0.005573431229413409,0.06553218952921835
UTAH,0.13360313627950962,0.009086712237274966,6.154526827703592e-49
VERMONT,0.1251080153956844,0.009296284006031361,2.7684725464039994e-41
VIRGINIA,0.012257296610299204,0.006380728259681938,0.05473333510932711
WASHINGTON,0.19053684398314694,0.007321562773321887,2.6454716528210916e-149
WEST VIRGINIA,0.16593826998277456,0.009175331033848627,4.163805406021981e-73
WISCONSIN,0.03906113761833407,0.00597097290635906,6.076729840824575e-11
WYOMING,0.0654530480578051,0.01606439149864456,4.612953611496959e-05
